"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC012718",0.614749069858478,4.93690488202399,12.3711016630222,6.35619301523429e-22,7.32678368866057e-18,39.2553452931249
"TC006181",-1.07863114824933,4.26504068143327,-10.189438195301,3.56927595136147e-17,2.05715219456718e-13,28.4582666708888
"TC006793",-1.4347317770571,7.10733405067161,-9.61765893180082,6.45628036337705e-16,2.48071812495491e-12,25.7634792388154
"TC002415",-0.391153213272946,11.2909229527714,-8.99728170437771,1.48659779009821e-14,4.28400318161551e-11,22.6964600118717
"TC005500",0.862368570344472,4.35763166767627,8.94344040625923,1.95043054763714e-14,4.49652258452267e-11,22.4280063434913
"TC004032",-0.835038660892491,5.8205150056306,-8.71594647769646,6.13308974176784e-14,9.16433700011981e-11,21.3063372732729
"TC003641",0.483560313225063,5.04999440306033,8.7087139702627,6.36025817653843e-14,9.16433700011981e-11,21.2781831060108
"TC004654",1.2841811554123,1.80209022297914,8.80930683773432,3.83401156111397e-14,7.3657752108268e-11,21.1173051853822
"TC001887",-0.906676552400061,4.18543474448515,-8.56965546058252,1.27897452835313e-13,1.47427393883266e-10,20.5782782142642
"TC005273",2.17947359049067,2.68924405045586,8.5861552410447,1.17732411147043e-13,1.47427393883266e-10,20.4940343485599
"TC015370",-0.585232759302523,4.90822182774814,-8.43891499168897,2.46328595672217e-13,2.58129974755786e-10,19.9619291440179
"TC005274",1.97654125252041,2.88818881919192,8.26322011603253,5.92956586494881e-13,5.69584214377208e-10,18.980124344715
"TC016274",-0.25778901736219,6.70573848165203,-7.96107351866122,2.66618001142938e-12,2.19521835655332e-09,17.5972327155489
"TC001982",-0.350866181667433,7.85416595191398,-7.9457052325948,2.87722639448564e-12,2.21105257661573e-09,17.5347864209559
"TC003040",-1.27769690427781,3.44582664809667,-7.77645842397535,6.64431321225528e-12,4.78681239985416e-09,16.6536422014575
"TC014841",2.27821561453019,-0.249067509043225,8.15531954190324,1.01548018885646e-12,9.00418472072954e-10,16.4382035781854
"TC009344",-0.635005856578024,3.19577753057554,-7.72773456456557,8.44845361061343e-12,5.72854851585535e-09,16.4334380366054
"TC005532",-0.729724915318741,5.04420295626655,-7.70313897696416,9.53641813025356e-12,5.83086343179221e-09,16.3990224705264
"TC015913",0.343809942311499,7.04338424494358,7.70155584596958,9.61103541286128e-12,5.83086343179221e-09,16.3472033406866
"TC002368",-0.383851342938024,9.37425136224945,-7.56419604989408,1.88729468808228e-11,1.08774229347622e-08,15.717467059086
"TC010036",-1.42536897752434,7.15602687346738,-7.55378883137153,1.98606322205128e-11,1.09015956002786e-08,15.6336099845152
"TC007641",0.494524207830989,3.98022145649141,7.47290173266477,2.95063748815824e-11,1.54599992390909e-08,15.3225707906962
"TC001049",-1.64019798726786,4.53735705872972,-7.44136009632439,3.44215082008061e-11,1.65323635429455e-08,15.1716193970205
"TC014067",2.5640153718884,2.54360206977454,7.45016056051352,3.29736804796456e-11,1.65255484734293e-08,15.0952959793475
"TC002307",-0.542627056642586,4.09653552829626,-7.32116552072431,6.18211686303142e-11,2.74081773385243e-08,14.6087545329391
"TC003112",0.831880472025092,9.82995362389668,7.3227677913484,6.1341501788652e-11,2.74081773385243e-08,14.5807090509784
"TC014620",-0.498767681950848,5.02959334076853,-7.28676658697433,7.30656943357524e-11,2.92313706413784e-08,14.410607541067
"TC012799",-0.693443319024232,6.49459910220576,-7.29211059062758,7.11942063987894e-11,2.92313706413784e-08,14.3888487063792
"TC007182",-1.2384406865657,9.26689870105495,-7.28120343416096,7.50657936179552e-11,2.92313706413784e-08,14.3643746342568
"TC000407",0.426911476115523,5.00180967152245,7.27844619350043,7.60771336203135e-11,2.92313706413784e-08,14.3622361456015
"TC001704",0.336855183315988,4.69702203629314,7.25197219625508,8.6502430821533e-11,3.21649522606391e-08,14.2537793191781
"TC011876",0.471966312787853,5.75775011051421,7.17383117659599,1.26275129159914e-10,4.54866691820729e-08,13.8339800931428
"TC014478",-0.427329416517959,5.2843153676841,-7.16340924837516,1.32797889329344e-10,4.63867051605862e-08,13.8179548536071
"TC009786",0.304455959094965,5.85740534004271,7.09471858633698,1.84980197475237e-10,6.27137275381487e-08,13.4589444370531
"TC030624",-0.353054275664928,9.03879910778335,-7.08073161199285,1.9787148153916e-10,6.5167559077197e-08,13.4210744741248
"TC014837",2.09328753488821,1.66093914923204,7.07110910454391,2.07253346042042e-10,6.63613699951837e-08,13.1824991476176
"TC011679",0.431500544597455,5.96451385973415,7.02874130916799,2.54088001989458e-10,7.91587134846616e-08,13.1538352930056
"TC016291",0.276594713492774,5.04954384037245,7.01968513718039,2.65385050615582e-10,8.05024599591004e-08,13.1427301274379
"TC014100",-0.465563309832418,6.08544888461139,-6.99968340189013,2.92129942251992e-10,8.63431242138132e-08,13.0240492115673
"TC010995",0.435509113713444,4.26162000186048,6.98144905087724,3.18829899994732e-10,9.18788064309818e-08,13.0138711707469
"TC007624",-0.408269100023176,3.88843198921565,-6.97331091468708,3.31513501500572e-10,9.32038080926121e-08,12.9922856342403
"TC011951",0.639571936733469,3.34567108806641,6.95837099799893,3.56112705562208e-10,9.54630501631529e-08,12.919714507097
"TC015782",-1.47345994754282,5.79922243499774,-6.96769180680252,3.40561561612715e-10,9.34679314454707e-08,12.8984234085469
"TC006063",-0.275655987545087,5.94969535680504,-6.88762872583784,4.9945714501849e-10,1.30846420696094e-07,12.4852960607091
"TC000445",-1.43446454809627,4.53052597358061,-6.8181016408582,6.95686466359955e-10,1.70620806334706e-07,12.2732731820987
"TC014861",-0.381824943046225,5.50758792647386,-6.8327907020368,6.48706333144572e-10,1.62557345699076e-07,12.2621173802998
"TC004628",-0.800678726513285,3.34628971888066,-6.7917214643451,7.88665394045108e-10,1.89394708274124e-07,12.1469693890612
"TC008031",-1.26384425887445,5.04461608213948,-6.77965640960502,8.35190666563496e-10,1.96474343132192e-07,12.0655066855341
"TC000573",-0.64408777264527,5.08860581154229,-6.6606263246664,1.46745576575169e-09,3.25295434842687e-07,11.4941712179643
"TC012800",-1.10666269479945,2.34754426322392,-6.67228531527181,1.38884785340466e-09,3.13906847180304e-07,11.4612613296125
"TC007801",0.320945730690059,5.50100558210691,6.64254054155179,1.59818351049343e-09,3.47589836329393e-07,11.3739560265785
"TC003883",0.332149565566567,4.33264420568987,6.62072358332772,1.77128006155033e-09,3.71228095808922e-07,11.3505677366816
"TC010614",0.304314887001692,5.65861817976299,6.62546623345926,1.73214062265786e-09,3.69747869581059e-07,11.2839722516878
