Sample	FitnessAssay	Library	Sequencing	Time	Condition
620-1CT	M2.T2.A	Lib12	NS44	Jul.16	CT
620-2HD	M2.T1.B	Lib12	NS44	Jul.16	HD
996-1CT	M3.T2.A	Lib12	NS44	Jul.16	CT
996-2HD	M3.T3.B	Lib12	NS44	Jul.16	HD
39-1CT	M.T1.A	Lib13	NS44	Jul.16	CT
39-2HD	M1.T1.B	Lib13	NS44	Jul.16	HD
354-1CT	M1.T1.A	Lib13	NS44	Jul.16	CT
987-1CT	M3.T1.A	Lib13	NS44	Jul.16	CT
987-2HD	M3.T2.B	Lib13	NS44	Jul.16	HD
23-1CT	M1.T2.A	Lib14	NS44	Jul.16	CT
23-3HD	M1.T4.B	Lib14	NS44	Jul.16	HD
407-1CT	M1.T4.A	Lib14	NS44	Jul.16	CT
407-2HD	M1.T1.B	Lib14	NS44	Jul.16	HD
721-1CT	M2.T1.A	Lib14	NS44	Jul.16	CT
721-2HD	M2.T2.B	Lib14	NS44	Jul.16	HD
390-4CT	M1.T4.A	Lib15	NS44	Jul.16	CT
757-1CT	M3.T1.A	Lib15	NS44	Jul.16	CT
774-3CT	M3.T1.A	Lib15	NS44	Jul.16	CT
774-4HD	M3.T3.B	Lib15	NS44	Jul.16	HD
316-3CT	M1.T3.A	Lib16	NS44	Jul.16	CT
499-3CT	M2.T4.A	Lib16	NS44	Jul.16	CT
1088-3CT	M3.T1.A	Lib16	NS44	Jul.16	CT
1088-4HD	M3.T2.B	Lib16	NS44	Jul.16	HD
106-4CT	M1.T4.A	Lib17	NS44	Jul.16	CT
426-4CT	M1.T3.A	Lib17	NS44	Jul.16	CT
757-4CT	M3.T1.A	Lib17	NS44	Jul.16	CT
234-3CT	M1.T2.A	Lib18	NS44	Jul.16	CT
385-3CT	M1.T4.A	Lib18	NS44	Jul.16	CT
706-3CT	M2.T4.A	Lib18	NS44	Jul.16	CT
118-4CT	M1.T1.A	Lib19	NS44	Jul.16	CT
363-4CT	M1.T4.A	Lib19	NS44	Jul.16	CT
793-4CT	M3.T2.A	Lib19	NS44	Jul.16	CT
793-3HD	M3.T4.B	Lib19	NS44	Jul.16	HD
354-2HD	M1.T4.B	Lib20	NS44	Jul.16	HD
236-3CT	M1.T3.A	Lib11	NS45	Jul.16	CT
236-4HD	M1.T4.B	Lib11	NS45	Jul.16	HD
629-3CT	M2.T3.A	Lib11	NS45	Jul.16	CT
629-4HD	M2.T1.B	Lib11	NS45	Jul.16	HD
227-3CT	M1.T1.A	Lib12	NS45	Jul.16	CT
227-4HD	M1.T4.B	Lib12	NS45	Jul.16	HD
620-4HD	M2.T1.B	Lib12	NS45	Jul.16	HD
996-3CT	M3.T2.A	Lib12	NS45	Jul.16	CT
996-4HD	M3.T3.B	Lib12	NS45	Jul.16	HD
39-3CT	M.T1.A	Lib13	NS45	Jul.16	CT
39-4HD	M1.T1.B	Lib13	NS45	Jul.16	HD
354-3CT	M1.T1.A	Lib13	NS45	Jul.16	CT
354-4HD	M1.T4.B	Lib13	NS45	Jul.16	HD
987-3CT	M3.T1.A	Lib13	NS45	Jul.16	CT
987-4HD	M3.T2.B	Lib13	NS45	Jul.16	HD
23-4CT	M1.T2.A	Lib14	NS45	Jul.16	CT
390-1CT	M1.T4.A	Lib14	NS45	Jul.16	CT
407-3CT	M1.T4.A	Lib14	NS45	Jul.16	CT
407-4HD	M1.T1.B	Lib14	NS45	Jul.16	HD
721-3CT	M2.T1.A	Lib14	NS45	Jul.16	CT
721-4HD	M2.T2.B	Lib14	NS45	Jul.16	HD
774-1HD	M3.T3.B	Lib15	NS45	Jul.16	HD
316-1HD	M1.T2.B	Lib16	NS45	Jul.16	HD
499-1HD	M2.T3.B	Lib16	NS45	Jul.16	HD
1088-1HD	M3.T2.B	Lib16	NS45	Jul.16	HD
106-2HD	M1.T3.B	Lib17	NS45	Jul.16	HD
426-2HD	M1.T1.B	Lib17	NS45	Jul.16	HD
757-2HD	M3.T2.B	Lib17	NS45	Jul.16	HD
234-1HD	M1.T4.B	Lib18	NS45	Jul.16	HD
385-1HD	M1.T2.B	Lib18	NS45	Jul.16	HD
706-1HD	M2.T3.B	Lib18	NS45	Jul.16	HD
118-1CT	M1.T1.A	Lib19	NS45	Jul.16	CT
118-2HD	M1.T2.B	Lib19	NS45	Jul.16	HD
363-1CT	M1.T4.A	Lib19	NS45	Jul.16	CT
363-2HD	M1.T1.B	Lib19	NS45	Jul.16	HD
363-3HD	M1.T1.B	Lib19	NS45	Jul.16	HD
793-1CT	M3.T2.A	Lib19	NS45	Jul.16	CT
793-2HD	M3.T4.B	Lib19	NS45	Jul.16	HD
390-2HD	M1.T3.B	Lib20	NS45	Jul.16	HD
620-3CT	M2.T2.A	Lib20	NS45	Jul.16	CT
236-4CT	M1.T3.A	Lib11	NS46	Jul.16	CT
629-4CT	M2.T3.A	Lib11	NS46	Jul.16	CT
227-4CT	M1.T1.A	Lib12	NS46	Jul.16	CT
620-4CT	M2.T2.A	Lib12	NS46	Jul.16	CT
996-4CT	M3.T2.A	Lib12	NS46	Jul.16	CT
39-4CT	M.T1.A	Lib13	NS46	Jul.16	CT
354-4CT	M1.T1.A	Lib13	NS46	Jul.16	CT
987-4CT	M3.T1.A	Lib13	NS46	Jul.16	CT
23-1HD	M1.T4.B	Lib14	NS46	Jul.16	HD
407-4CT	M1.T4.A	Lib14	NS46	Jul.16	CT
721-4CT	M2.T1.A	Lib14	NS46	Jul.16	CT
390-2CT	M1.T4.A	Lib15	NS46	Jul.16	CT
390-3HD	M1.T3.B	Lib15	NS46	Jul.16	HD
774-1CT	M3.T1.A	Lib15	NS46	Jul.16	CT
774-2HD	M3.T3.B	Lib15	NS46	Jul.16	HD
316-1CT	M1.T3.A	Lib16	NS46	Jul.16	CT
316-2HD	M1.T2.B	Lib16	NS46	Jul.16	HD
499-1CT	M2.T4.A	Lib16	NS46	Jul.16	CT
499-2HD	M2.T3.B	Lib16	NS46	Jul.16	HD
1088-1CT	M3.T1.A	Lib16	NS46	Jul.16	CT
1088-2HD	M3.T2.B	Lib16	NS46	Jul.16	HD
106-1CT	M1.T4.A	Lib17	NS46	Jul.16	CT
106-2CT	M1.T4.A	Lib17	NS46	Jul.16	CT
106-3HD	M1.T3.B	Lib17	NS46	Jul.16	HD
426-2CT	M1.T3.A	Lib17	NS46	Jul.16	CT
426-3HD	M1.T1.B	Lib17	NS46	Jul.16	HD
757-2CT	M3.T1.A	Lib17	NS46	Jul.16	CT
757-3HD	M3.T2.B	Lib17	NS46	Jul.16	HD
866-1CT	M3.T4.A	Lib17	NS46	Jul.16	CT
234-1CT	M1.T2.A	Lib18	NS46	Jul.16	CT
385-2HD	M1.T2.B	Lib18	NS46	Jul.16	HD
385-4HD	M1.T2.B	Lib18	NS46	Jul.16	HD
706-1CT	M2.T4.A	Lib18	NS46	Jul.16	CT
706-2HD	M2.T3.B	Lib18	NS46	Jul.16	HD
118-2CT	M1.T1.A	Lib19	NS46	Jul.16	CT
118-3HD	M1.T2.B	Lib19	NS46	Jul.16	HD
363-2CT	M1.T4.A	Lib19	NS46	Jul.16	CT
793-2CT	M3.T2.A	Lib19	NS46	Jul.16	CT
227-3HD	M1.T4.B	Lib20	NS46	Jul.16	HD
234-2HD	M1.T4.B	Lib20	NS46	Jul.16	HD
236-1HD	M1.T4.B	Lib11	NS50	Jul.16	HD
629-1HD	M2.T1.B	Lib11	NS50	Jul.16	HD
227-1HD	M1.T4.B	Lib12	NS50	Jul.16	HD
620-1HD	M2.T1.B	Lib12	NS50	Jul.16	HD
996-1HD	M3.T3.B	Lib12	NS50	Jul.16	HD
39-1HD	M1.T1.B	Lib13	NS50	Jul.16	HD
354-1HD	M1.T4.B	Lib13	NS50	Jul.16	HD
987-1HD	M3.T2.B	Lib13	NS50	Jul.16	HD
23-2HD	M1.T4.B	Lib14	NS50	Jul.16	HD
407-1HD	M1.T1.B	Lib14	NS50	Jul.16	HD
721-1HD	M2.T2.B	Lib14	NS50	Jul.16	HD
390-3CT	M1.T4.A	Lib15	NS50	Jul.16	CT
390-4HD	M1.T3.B	Lib15	NS50	Jul.16	HD
774-2CT	M3.T1.A	Lib15	NS50	Jul.16	CT
774-3HD	M3.T3.B	Lib15	NS50	Jul.16	HD
316-2CT	M1.T3.A	Lib16	NS50	Jul.16	CT
316-3HD	M1.T2.B	Lib16	NS50	Jul.16	HD
499-2CT	M2.T4.A	Lib16	NS50	Jul.16	CT
1088-2CT	M3.T1.A	Lib16	NS50	Jul.16	CT
1088-3HD	M3.T2.B	Lib16	NS50	Jul.16	HD
106-3CT	M1.T4.A	Lib17	NS50	Jul.16	CT
106-4HD	M1.T3.B	Lib17	NS50	Jul.16	HD
426-3CT	M1.T3.A	Lib17	NS50	Jul.16	CT
426-4HD	M1.T1.B	Lib17	NS50	Jul.16	HD
757-3CT	M3.T1.A	Lib17	NS50	Jul.16	CT
757-4HD	M3.T2.B	Lib17	NS50	Jul.16	HD
234-2CT	M1.T2.A	Lib18	NS50	Jul.16	CT
234-3HD	M1.T4.B	Lib18	NS50	Jul.16	HD
234-4HD	M1.T4.B	Lib18	NS50	Jul.16	HD
385-2CT	M1.T4.A	Lib18	NS50	Jul.16	CT
385-3HD	M1.T2.B	Lib18	NS50	Jul.16	HD
