Sample	FitnessAssay	Library	Sequencing	Time	Condition
730-4CT	M2.T3.A	Lib2.B	NS81	Feb.17	CT
730-4HD	M2.T4.B	Lib2.B	NS81	Feb.17	HD
878-4CT	M3.T2.A	Lib2.B	NS81	Feb.17	CT
878-4HD	M3.T3.B	Lib2.B	NS81	Feb.17	HD
1097-4CT	M3.T1.A	Lib2.B	NS81	Feb.17	CT
1097-4HD	M3.T2.B	Lib2.B	NS81	Feb.17	HD
7-4CT	M1.T1.A	Lib3.B	NS81	Feb.17	CT
7-4HD	M1.T4.B	Lib3.B	NS81	Feb.17	HD
512-4CT	M2.T4.A	Lib3.B	NS81	Feb.17	CT
866-1HD	M3.T2.B	Lib3.B	NS81	Feb.17	HD
879-3CT	M3.T4.A	Lib3.B	NS81	Feb.17	CT
1065-4CT	M3.T3.A	Lib3.B	NS81	Feb.17	CT
1065-4HD	M3.T4.B	Lib3.B	NS81	Feb.17	HD
226-1HD	M1.T2.B	Lib4.B	NS81	Feb.17	HD
226-3HD	M1.T2.B	Lib4.B	NS81	Feb.17	HD
901-3CT	M3.T4.A	Lib4.B	NS81	Feb.17	CT
901-1CT	M3.T4.A	Lib4.B	NS81	Feb.17	CT
986-3CT	M3.T2.A	Lib4.B	NS81	Feb.17	CT
141-1CT	M1.T1.A	Lib5.B	NS81	Feb.17	CT
534-2HD	M2.T1.B	Lib5.B	NS81	Feb.17	HD
619-3CT	M2.T3.A	Lib5.B	NS81	Feb.17	CT
619-1HD	M2.T1.B	Lib5.B	NS81	Feb.17	HD
374-2HD	M1.T3.B	Lib6.B	NS81	Feb.17	HD
752-2HD	M3.T2.B	Lib6.B	NS81	Feb.17	HD
752-4HD	M3.T2.B	Lib6.B	NS81	Feb.17	HD
879-2HD	M3.T1.B	Lib6.B	NS81	Feb.17	HD
627-4CT	M2.T1.A	Lib7.B	NS81	Feb.17	CT
141-3HD	M1.T2.B	Lib8.B	NS81	Feb.17	HD
281-1HD	M1.T2.B	Lib8.B	NS81	Feb.17	HD
994-4CT	M3.T2.A	Lib8.B	NS81	Feb.17	CT
1073-4CT	M3.T3.A	Lib8.B	NS81	Feb.17	CT
119-1HD	M1.T2.B	Lib2.B	NS82	Feb.17	HD
698-1HD	M2.T3.B	Lib2.B	NS82	Feb.17	HD
730-1HD	M2.T4.B	Lib2.B	NS82	Feb.17	HD
878-1HD	M3.T3.B	Lib2.B	NS82	Feb.17	HD
1097-1HD	M3.T2.B	Lib2.B	NS82	Feb.17	HD
7-1HD	M1.T4.B	Lib3.B	NS82	Feb.17	HD
512-1HD	M2.T3.B	Lib3.B	NS82	Feb.17	HD
866-2HD	M3.T2.B	Lib3.B	NS82	Feb.17	HD
1065-1HD	M3.T4.B	Lib3.B	NS82	Feb.17	HD
226-2CT	M1.T3.A	Lib4.B	NS82	Feb.17	CT
226-4CT	M1.T3.A	Lib4.B	NS82	Feb.17	CT
901-2CT	M3.T4.A	Lib4.B	NS82	Feb.17	CT
901-4CT	M3.T4.A	Lib4.B	NS82	Feb.17	CT
986-2CT	M3.T2.A	Lib4.B	NS82	Feb.17	CT
986-4CT	M3.T2.A	Lib4.B	NS82	Feb.17	CT
141-4HD	M1.T2.B	Lib5.B	NS82	Feb.17	HD
289-4HD	M1.T4.B	Lib5.B	NS82	Feb.17	HD
534-2CT	M2.T4.A	Lib5.B	NS82	Feb.17	CT
534-3HD	M2.T1.B	Lib5.B	NS82	Feb.17	HD
619-2HD	M2.T1.B	Lib5.B	NS82	Feb.17	HD
986-3HD	M3.T4.B	Lib5.B	NS82	Feb.17	HD
374-3CT	M1.T1.A	Lib6.B	NS82	Feb.17	CT
374-3HD	M1.T3.B	Lib6.B	NS82	Feb.17	HD
512-3HD	M2.T3.B	Lib6.B	NS82	Feb.17	HD
752-3CT	M3.T4.A	Lib6.B	NS82	Feb.17	CT
879-3HD	M3.T1.B	Lib6.B	NS82	Feb.17	HD
18-3CT	M1.T4.A	Lib7.B	NS82	Feb.17	CT
289-1CT	M1.T1.A	Lib7.B	NS82	Feb.17	CT
289-3CT	M1.T1.A	Lib7.B	NS82	Feb.17	CT
627-1HD	M2.T4.B	Lib7.B	NS82	Feb.17	HD
741-1CT	M3.T3.A	Lib7.B	NS82	Feb.17	CT
741-4HD	M3.T2.B	Lib7.B	NS82	Feb.17	HD
627-3HD	M2.T4.B	Lib8.B	NS82	Feb.17	HD
994-1HD	M3.T1.B	Lib8.B	NS82	Feb.17	HD
994-3HD	M3.T1.B	Lib8.B	NS82	Feb.17	HD
1073-1HD	M3.T2.B	Lib8.B	NS82	Feb.17	HD
1073-3HD	M3.T2.B	Lib8.B	NS82	Feb.17	HD
