Sample	Sample2	Selection	Treatment	group	batch	batch2
L1CT-4-4HD	L1CT-4-4HD	CT	HD	CT.HD	NS118	year2017
L1D-13-4H	L1D-13-4H	D	H	D.H	NS118	year2017
L1D-7-4H	L1D-7-4H	D	H	D.H	NS118	year2017
L2D-3-3CT	L2D-3-3CT	D	CT	D.CT	NS118	year2017
L2D-3-3D	L2D-3-3D	D	D	D.D	NS118	year2017
L1H-15-4CT	L1H-15-4CT	H	CT	H.CT	NS118	year2017
L4H-9-4CT	L4H-9-4CT	H	CT	H.CT	NS118	year2017
L1CT-4-4D	L1CT-4-4D	CT	D	CT.D	NS118	year2017
L5CT-2-4CT	L5CT-2-4CT	CT	CT	CT.CT	NS118	year2017
L5CT2-4HD	L5CT2-4HD	CT	HD	CT.HD	NS118	year2017
L2HD-8-4CT	L2HD-8-4CT	HD	CT	HD.CT	NS118	year2017
L2HD-8-2HD	L2HD-8-2HD	HD	HD	HD.HD	NS118	year2017
L2HD-8-4HD	L2HD-8-4HD	HD	HD	HD.HD	NS118	year2017
L2D-3-4D	L2D-3-4D	D	D	D.D	NS118	year2017
L6D-5-4CT	L6D-5-4CT	D	CT	D.CT	NS118	year2017
L6D-5-3D	L6D-5-3D	D	D	D.D	NS118	year2017
L4H-9-4H	L4H-9-4H	H	H	H.H	NS118	year2017
L3HD-10-2H	L3HD-10-2H	HD	H	HD.H	NS118	year2017
L2HD-8-1H	L2HD-8-1H	HD	H	HD.H	NS118	year2017
L2HD-2-3H	L2HD-2-3H	HD	H	HD.H	NS118	year2017
L6D-13-4H	L6D-13-4H	D	H	D.H	NS118	year2017
L6D-5-4D	L6D-5-4D	D	D	D.D	NS118	year2017
L6D-5-3H	L6D-5-3H	D	H	D.H	NS118	year2017
L4CT-16-4D	L4CT-16-4D	CT	D	CT.D	NS118	year2017
L4CT-16-4H	L4CT-16-4H	CT	H	CT.H	NS118	year2017
L1D-7-4CT	L1D-7-4CT	D	CT	D.CT	NS119	year2017
L1D-7-4D	L1D-7-4D	D	D	D.D	NS119	year2017
L4H-9-2CT	L4H-9-2CT	H	CT	H.CT	NS119	year2017
L4H-9-2H	L4H-9-2H	H	H	H.H	NS119	year2017
L3HD-4-1H	L3HD-4-1H	HD	H	HD.H	NS119	year2017
L3HD-4-2H	L3HD-4-2H	HD	H	HD.H	NS119	year2017
L1CT-4-4CT	L1CT-4-4CT	CT	CT	CT.CT	NS119	year2017
L5CT-2-4D	L5CT-2-4D	CT	D	CT.D	NS119	year2017
L4CT-16-3H	L4CT-16-3H	CT	H	CT.H	NS119	year2017
L4H-9-3CT	L4H-9-3CT	H	CT	H.CT	NS119	year2017
L4H-9-3H	L4H-9-3H	H	H	H.H	NS119	year2017
L1HD-3-1H	L1HD-3-1H	HD	H	HD.H	NS119	year2017
L1HD-3-2H	L1HD-3-2H	HD	H	HD.H	NS119	year2017
L2HD-8-2CT	L2HD-8-2CT	HD	CT	HD.CT	NS119	year2017
L5H-13-4CT	L5H-13-4CT	H	CT	H.CT	NS119	year2017
L1H-15-3H	L1H-15-3H	H	H	H.H	NS119	year2017
L2D-3-3H	L2D-3-3H	D	H	D.H	NS119	year2017
L2D-3-4H	L2D-3-4H	D	H	D.H	NS119	year2017
L1HD-3-4CT	L1HD-3-4CT	HD	CT	HD.CT	NS119	year2017
L1HD-3-4HD	L1HD-3-4HD	HD	HD	HD.HD	NS119	year2017
L3HD-4-4CT	L3HD-4-4CT	HD	CT	HD.CT	NS119	year2017
L3HD-4-4HD	L3HD-4-4HD	HD	HD	HD.HD	NS119	year2017
L6D-5-2CT	L6D-5-2CT	D	CT	D.CT	NS119	year2017
L6D-5-2D	L6D-5-2D	D	D	D.D	NS119	year2017
L3HD-4-4H	L3HD-4-4H	HD	H	HD.H	NS119	year2017
L2HD-8-2H	L2HD-8-2H	HD	H	HD.H	NS119	year2017
L2HD-8-3H	L2HD-8-3H	HD	H	HD.H	NS119	year2017
L5CT-2-4H	L5CT-2-4H	CT	H	CT.H	NS119	year2017
L4CT-16-4CT	L4CT-16-4CT	CT	CT	CT.CT	NS119	year2017
L4CT-16-4HD	L4CT-16-4HD	CT	HD	CT.HD	NS119	year2017
L1D-7-2H	L1D-7-2H	D	H	D.H	NS119	year2017
L1D-7-3H	L1D-7-3H	D	H	D.H	NS119	year2017
L2D-3-4CT	L2D-3-4CT	D	CT	D.CT	NS119	year2017
L2D3-1H	L2D3-1H	D	H	D.H	NS119	year2017
